Date,Row Type,Campaign ID,Campaign,Campaign Link,Ad Channel,Status,Ad Set ID,Ad Set,Ad Creative ID,Ad Creative,Keyword ID,Display ID,Created at,clicks,ad_network_clicks,tracker_clicks,impressions,"installs (per-day, not summable)",onboards,cr,revenue,Revenue Count,spend,"roas (per-day, not summable)","active_users (per-day, not summable)","cpi (per-day, not summable)",cpa,"click_through_installs (per-day, not summable)","view_through_installs (per-day, not summable)",ONE_TIME_count,ONE_TIME_total
2026-07-31,campaign,GA_20000150461,App_Install_Prospecting,,,Active,,,,,,GA_20000150461,15 May 26,104,92,12,1086,2,37,0,1412,2,1130.9487,1.2485,38,565.4744,0,2,0,2,1412.00
2026-07-31,campaign,lr460d,Festive_Push_iOS,,,Active,,,,,,lr460d,27 May 26,2,0,2,0,2,77,100,234,1,0,0,65,0,0,2,0,1,234.00
2026-07-31,campaign,lr08a8,Lookalike_Purchasers,,,Active,,,,,,lr08a8,19 Jul 26,154,154,0,11192,2,4,50,323,1,1652.97,0.1954,36,826.485,1652.97,2,0,1,323.00
2026-07-31,campaign,GA_20000174218,Video_Views_Broad,,,Active,,,,,,GA_20000174218,10 May 26,0,0,0,0,2,82,150,4011,4,0,0,283,0,0,2,0,4,4011.00
2026-07-31,campaign,lr12f2,Search_Generic_Terms,,,Active,,,,,,lr12f2,20 May 26,1,0,1,0,1,1,100,389,1,0,0,1,0,0,1,0,1,389.00
2026-07-31,campaign,GA_20000190056,Summer_Sale_Android,,,Active,,,,,,GA_20000190056,07 Jul 26,45,45,0,3819,1,0,0,0,0,239.89,0,0,239.89,0,0,0,,
2026-07-31,campaign,lr578d,Brand_Search_IN,,,Active,,,,,,lr578d,26 May 26,0,0,0,0,1,33,0,0,0,0,0,65,0,0,1,0,,
2026-07-31,campaign,lrf6b4,Retargeting_Cart_Abandon,,,Active,,,,,,lrf6b4,14 Jun 26,0,0,0,0,1,7,100,1728,1,0,0,20,0,0,1,0,1,1728.00
2026-07-31,campaign,GA_20000213813,App_Install_Prospecting,,,Active,,,,,,GA_20000213813,09 May 26,0,0,0,0,1,395,200,12604,22,0,0,418,0,0,1,0,22,12604.00
2026-07-31,campaign,GA_20000221732,Festive_Push_iOS,,,Active,,,,,,GA_20000221732,10 May 26,1160,1160,0,57370,1,113,100,2125,3,5983.5387,0.3551,93,5983.5387,5983.5387,1,0,3,2125.00
2026-07-31,campaign,GA_20000229651,Lookalike_Purchasers,,,Active,,,,,,GA_20000229651,11 May 26,92,92,0,4688,1,38,100,0,0,695.579,0,22,695.579,695.579,1,0,,
2026-07-31,campaign,GA_20000237570,Video_Views_Broad,,,Active,,,,,,GA_20000237570,09 May 26,0,0,0,0,1,296,300,10806,18,0,0,324,0,0,1,0,18,10806.00
2026-07-31,campaign,GA_20000245489,Search_Generic_Terms,,,Active,,,,,,GA_20000245489,11 Jun 26,16,0,16,1273,0,1,0,0,0,4056.2396,0,81,0,0,0,0,,
2026-07-31,campaign,GA_20000253408,Summer_Sale_Android,,,Active,,,,,,GA_20000253408,09 Jul 26,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000261327,Brand_Search_IN,,,Active,,,,,,GA_20000261327,14 Jun 26,7,0,7,910,0,0,0,0,0,3845.1496,0,16,0,0,0,0,,
2026-07-31,campaign,GA_20000269246,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000269246,23 Jul 26,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000277165,App_Install_Prospecting,,,Active,,,,,,GA_20000277165,12 Jun 26,6,0,6,3625,0,0,0,0,0,5224.0938,0,22,0,0,0,0,,
2026-07-31,campaign,GA_20000285084,Festive_Push_iOS,,,Active,,,,,,GA_20000285084,11 Jun 26,64,0,64,4298,0,0,0,0,0,13730.5566,0,132,0,0,0,0,,
2026-07-31,campaign,GA_20000293003,Lookalike_Purchasers,,,Active,,,,,,GA_20000293003,09 Jul 26,52,0,52,13150,0,2,0,0,0,1456.5993,0,53,0,0,0,0,,
2026-07-31,campaign,GA_20000300922,Video_Views_Broad,,,Active,,,,,,GA_20000300922,23 Jul 26,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000308841,Search_Generic_Terms,,,Active,,,,,,GA_20000308841,22 Jul 26,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,lra2dd,Summer_Sale_Android,,,Active,,,,,,lra2dd,27 Mar 26,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,GA_20000324679,Brand_Search_IN,,,Active,,,,,,GA_20000324679,16 Jun 26,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000332598,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000332598,09 Jul 26,78,0,78,9688,0,0,0,0,0,1873.2942,0,97,0,0,0,0,,
2026-07-31,campaign,GA_20000340517,App_Install_Prospecting,,,Active,,,,,,GA_20000340517,04 Jun 26,40,0,40,0,0,0,0,0,0,0,0,3,0,0,0,0,,
2026-07-31,campaign,GA_20000348436,Festive_Push_iOS,,,Active,,,,,,GA_20000348436,10 Jul 26,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000356355,Lookalike_Purchasers,,,Active,,,,,,GA_20000356355,06 Jun 26,43,0,43,5151,0,2,0,0,0,9881.8202,0,228,0,0,0,0,,
2026-07-31,campaign,GA_20000364274,Video_Views_Broad,,,Active,,,,,,GA_20000364274,08 Jul 26,87,0,87,33351,0,2,0,0,0,4194.7898,0,152,0,0,0,0,,
2026-07-31,campaign,GA_20000372193,Search_Generic_Terms,,,Active,,,,,,GA_20000372193,05 Jun 26,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,GA_20000380112,Summer_Sale_Android,,,Active,,,,,,GA_20000380112,12 Jul 26,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000388031,Brand_Search_IN,,,Active,,,,,,GA_20000388031,14 Jun 26,7,0,7,1362,0,0,0,0,0,5062.1999,0,4,0,0,0,0,,
2026-07-31,campaign,GA_20000395950,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000395950,04 Jun 26,19,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,lr1668,App_Install_Prospecting,,,Active,,,,,,lr1668,11 Jul 26,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,,
2026-07-31,campaign,GA_20000411788,Festive_Push_iOS,,,Active,,,,,,GA_20000411788,09 Jul 26,49,0,49,17631,0,2,0,0,0,1697.6354,0,68,0,0,0,0,,
2026-07-31,campaign,lr3f80,Lookalike_Purchasers,,,Active,,,,,,lr3f80,17 Jul 26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000427626,Video_Views_Broad,,,Active,,,,,,GA_20000427626,09 Jul 26,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000435545,Search_Generic_Terms,,,Active,,,,,,GA_20000435545,10 Jul 26,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000443464,Summer_Sale_Android,,,Active,,,,,,GA_20000443464,13 Jul 26,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000451383,Brand_Search_IN,,,Active,,,,,,GA_20000451383,15 Jun 26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000459302,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000459302,13 Jun 26,27,0,27,2513,0,0,0,0,0,9003.6781,0,63,0,0,0,0,,
2026-07-31,campaign,GA_20000467221,App_Install_Prospecting,,,Active,,,,,,GA_20000467221,04 Jun 26,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000475140,Festive_Push_iOS,,,Active,,,,,,GA_20000475140,23 Jul 26,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000483059,Lookalike_Purchasers,,,Active,,,,,,GA_20000483059,23 Jul 26,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000490978,Video_Views_Broad,,,Active,,,,,,GA_20000490978,23 Jul 26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000498897,Search_Generic_Terms,,,Active,,,,,,GA_20000498897,04 Jun 26,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,lre59e,Summer_Sale_Android,,,Active,,,,,,lre59e,24 Mar 26,132,0,132,0,0,10,0,0,0,0,0,9,0,0,0,0,,
2026-07-31,campaign,GA_20000514735,Brand_Search_IN,,,Active,,,,,,GA_20000514735,04 Jun 26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000522654,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000522654,05 Jun 26,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000530573,App_Install_Prospecting,,,Active,,,,,,GA_20000530573,07 Jun 26,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000538492,Festive_Push_iOS,,,Active,,,,,,GA_20000538492,08 Jul 26,61,0,61,15413,0,1,0,0,0,1937.4934,0,58,0,0,0,0,,
2026-07-31,campaign,GA_20000546411,Lookalike_Purchasers,,,Active,,,,,,GA_20000546411,11 May 26,115,94,21,5122,0,9,0,333,2,920.3111,0.3618,20,0,0,0,0,2,333.00
2026-07-31,campaign,GA_20000554330,Video_Views_Broad,,,Active,,,,,,GA_20000554330,07 Jun 26,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,lr2c8d,Search_Generic_Terms,,,Active,,,,,,lr2c8d,27 May 26,1,0,1,0,0,10,0,2002,1,0,0,17,0,0,0,0,1,2002.00
2026-07-31,campaign,GA_20000570168,Summer_Sale_Android,,,Active,,,,,,GA_20000570168,04 Jun 26,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,GA_20000578087,Brand_Search_IN,,,Active,,,,,,GA_20000578087,04 Jun 26,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000586006,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000586006,13 Jun 26,78,0,78,1239,0,2,0,0,0,14244.83,0,441,0,0,0,0,,
2026-07-31,campaign,GA_20000593925,App_Install_Prospecting,,,Active,,,,,,GA_20000593925,04 Jun 26,10,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,GA_20000601844,Festive_Push_iOS,,,Active,,,,,,GA_20000601844,06 Jun 26,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000609763,Lookalike_Purchasers,,,Active,,,,,,GA_20000609763,16 Jun 26,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000617682,Video_Views_Broad,,,Active,,,,,,GA_20000617682,13 Jun 26,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,lr61a5,Search_Generic_Terms,,,Active,,,,,,lr61a5,13 Jul 26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000633520,Summer_Sale_Android,,,Active,,,,,,GA_20000633520,04 Jun 26,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2026-07-31,campaign,GA_20000641439,Brand_Search_IN,,,Active,,,,,,GA_20000641439,23 Jul 26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000649358,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000649358,04 Jun 26,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000657277,App_Install_Prospecting,,,Active,,,,,,GA_20000657277,06 Jun 26,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000665196,Festive_Push_iOS,,,Active,,,,,,GA_20000665196,04 Jun 26,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,,
2026-07-31,campaign,lr81c2,Lookalike_Purchasers,,,Active,,,,,,lr81c2,16 Jul 26,85,85,0,7073,0,7,0,0,0,1756.19,0,24,0,0,0,0,,
2026-07-31,campaign,lr18be,Video_Views_Broad,,,Active,,,,,,lr18be,27 Jun 26,0,0,0,27,0,103,0,1072,2,0.85,1261.1765,8,0,0,0,0,2,1072.00
2026-07-31,campaign,MFB_20000688953,Search_Generic_Terms,,,Active,,,,,,MFB_20000688953,17 Jun 26,217,217,0,5470,0,2,0,0,0,275.77,0,0,0,0,0,0,,
2026-07-31,campaign,GA_20000696872,Summer_Sale_Android,,,Active,,,,,,GA_20000696872,21 Jul 26,,,,,,1,,,,,,,,,,,,
2026-07-31,campaign,lrb7a1,Brand_Search_IN,,,Active,,,,,,lrb7a1,17 Jul 26,,,,,,4,,,,,,,,,,,,
